Statistic,Month,NACE.Group,value
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,Department stores (4719),-7.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,Retail sale of automotive fuel (4730),4.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of hardware, paints and glass (4752)",-0.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,Retail sale of furniture and lighting (4759),-1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,Bars (5630),-1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,All retail businesses,0.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Motor trades and automotive fuel (45,4730)",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"All retail businesses, excluding motor trades and bars",2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"All retail businesses, excluding motor trades",2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"All retail businesses, excluding motor trades, automotive fuel and bars",1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of food (4711,4721 to 4729)",3.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-1.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-4.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of electrical goods (4741 to 4743,4754)",3.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",3.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",5.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of books, newspapers and stationery (4761,4762)",3.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,Motor trades (45),-0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,Department stores (4719),-6.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,Retail sale of automotive fuel (4730),9.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of hardware, paints and glass (4752)",-4.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,Retail sale of furniture and lighting (4759),-3.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,Bars (5630),5.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,All retail businesses,0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Motor trades and automotive fuel (45,4730)",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"All retail businesses, excluding motor trades and bars",0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"All retail businesses, excluding motor trades",1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"All retail businesses, excluding motor trades, automotive fuel and bars",-0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of food (4711,4721 to 4729)",2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-2.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-4.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of electrical goods (4741 to 4743,4754)",-4.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-2.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of books, newspapers and stationery (4761,4762)",6.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,Motor trades (45),1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,Department stores (4719),-8.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,Retail sale of automotive fuel (4730),10.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of hardware, paints and glass (4752)",5.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,Retail sale of furniture and lighting (4759),-5.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,Bars (5630),10.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,All retail businesses,0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Motor trades and automotive fuel (45,4730)",2.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"All retail businesses, excluding motor trades and bars",-1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"All retail businesses, excluding motor trades",-0.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"All retail businesses, excluding motor trades, automotive fuel and bars",-1.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of food (4711,4721 to 4729)",-1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",3.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of electrical goods (4741 to 4743,4754)",8.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-7.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of books, newspapers and stationery (4761,4762)",3.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,Motor trades (45),4.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,Department stores (4719),2.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,Retail sale of automotive fuel (4730),6.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of hardware, paints and glass (4752)",10.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,Retail sale of furniture and lighting (4759),-1.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,Bars (5630),-6.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,All retail businesses,2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Motor trades and automotive fuel (45,4730)",4.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"All retail businesses, excluding motor trades and bars",2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"All retail businesses, excluding motor trades",1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"All retail businesses, excluding motor trades, automotive fuel and bars",2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of food (4711,4721 to 4729)",2.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of electrical goods (4741 to 4743,4754)",-4.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of books, newspapers and stationery (4761,4762)",-1.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",4.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,Motor trades (45),-3.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,Department stores (4719),0.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,Retail sale of automotive fuel (4730),0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of hardware, paints and glass (4752)",0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,Retail sale of furniture and lighting (4759),1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,Bars (5630),0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,All retail businesses,-1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Motor trades and automotive fuel (45,4730)",-3.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"All retail businesses, excluding motor trades and bars",-1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"All retail businesses, excluding motor trades",-1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"All retail businesses, excluding motor trades, automotive fuel and bars",-1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of food (4711,4721 to 4729)",-0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of electrical goods (4741 to 4743,4754)",-6.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-3.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-3.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of books, newspapers and stationery (4761,4762)",0.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",1.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,Motor trades (45),-2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,Department stores (4719),4.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,Retail sale of automotive fuel (4730),-3.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of hardware, paints and glass (4752)",2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,Retail sale of furniture and lighting (4759),3.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,Bars (5630),-2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,All retail businesses,-0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Motor trades and automotive fuel (45,4730)",-2.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"All retail businesses, excluding motor trades and bars",0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"All retail businesses, excluding motor trades",0.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"All retail businesses, excluding motor trades, automotive fuel and bars",0.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of food (4711,4721 to 4729)",-0.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",3.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of electrical goods (4741 to 4743,4754)",0.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of books, newspapers and stationery (4761,4762)",8.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,Motor trades (45),4.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,Department stores (4719),2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,Retail sale of automotive fuel (4730),-1.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of hardware, paints and glass (4752)",5.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,Retail sale of furniture and lighting (4759),5.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,Bars (5630),-6.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,All retail businesses,0.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Motor trades and automotive fuel (45,4730)",0.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"All retail businesses, excluding motor trades and bars",0.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"All retail businesses, excluding motor trades",0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"All retail businesses, excluding motor trades, automotive fuel and bars",1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of food (4711,4721 to 4729)",-0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",3.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of electrical goods (4741 to 4743,4754)",-5.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",3.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",2.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of books, newspapers and stationery (4761,4762)",7.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",1.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,Motor trades (45),-2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",2.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,Department stores (4719),7.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,Retail sale of automotive fuel (4730),-1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of hardware, paints and glass (4752)",3.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,Retail sale of furniture and lighting (4759),4.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,Bars (5630),-1.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,All retail businesses,-1.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Motor trades and automotive fuel (45,4730)",-9.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"All retail businesses, excluding motor trades and bars",0.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"All retail businesses, excluding motor trades",0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"All retail businesses, excluding motor trades, automotive fuel and bars",0.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of food (4711,4721 to 4729)",2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",7.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of electrical goods (4741 to 4743,4754)",1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-2.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of books, newspapers and stationery (4761,4762)",1.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,Motor trades (45),-2.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,Department stores (4719),3.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,Retail sale of automotive fuel (4730),-2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of hardware, paints and glass (4752)",2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,Retail sale of furniture and lighting (4759),3.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,Bars (5630),-0.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,All retail businesses,0.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Motor trades and automotive fuel (45,4730)",-2.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"All retail businesses, excluding motor trades and bars",1.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"All retail businesses, excluding motor trades",0.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"All retail businesses, excluding motor trades, automotive fuel and bars",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of food (4711,4721 to 4729)",3.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",0.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",6.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",1.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of electrical goods (4741 to 4743,4754)",1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",1.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",0.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of books, newspapers and stationery (4761,4762)",3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2024 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-0.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,Motor trades (45),2.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",2.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,Department stores (4719),-4.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,Retail sale of automotive fuel (4730),-1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of hardware, paints and glass (4752)",-0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,Retail sale of furniture and lighting (4759),4.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,Bars (5630),1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,All retail businesses,0.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Motor trades and automotive fuel (45,4730)",1.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"All retail businesses, excluding motor trades and bars",-1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"All retail businesses, excluding motor trades",-0.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"All retail businesses, excluding motor trades, automotive fuel and bars",-1.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of food (4711,4721 to 4729)",1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-2.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-3.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of electrical goods (4741 to 4743,4754)",-8.8
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-6.4
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-3.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-2.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of books, newspapers and stationery (4761,4762)",-3.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,Motor trades (45),4.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",3.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,Department stores (4719),2.5
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,Retail sale of automotive fuel (4730),1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of hardware, paints and glass (4752)",-2.2
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,Retail sale of furniture and lighting (4759),2.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,Bars (5630),-2.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,All retail businesses,1.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Motor trades and automotive fuel (45,4730)",3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"All retail businesses, excluding motor trades and bars",1.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"All retail businesses, excluding motor trades",1.3
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"All retail businesses, excluding motor trades, automotive fuel and bars",2.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of food (4711,4721 to 4729)",3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",0.9
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",3.1
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-3.0
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of electrical goods (4741 to 4743,4754)",-7.6
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-0.7
Retail Sales Index Value Adjusted Percentage Change over 12 months,2025 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",0.8
