,Statistic,Quarter,Eircode.Output,value
419,New Dwelling Completion,2012Q3,Y35: Wexford,14
420,New Dwelling Completion,2012Q4,All,1458
421,New Dwelling Completion,2012Q4,A41: Ballyboughal,3
422,New Dwelling Completion,2012Q4,A42: Garristown,4
423,New Dwelling Completion,2012Q4,A45: Oldtown,0
424,New Dwelling Completion,2012Q4,A63: Greystones,4
425,New Dwelling Completion,2012Q4,A67: Wicklow,5
426,New Dwelling Completion,2012Q4,A75: Castleblaney,1
427,New Dwelling Completion,2012Q4,A81: Carrickmacross,2
428,New Dwelling Completion,2012Q4,A82: Kells,22
429,New Dwelling Completion,2012Q4,A83: Enfield,5
430,New Dwelling Completion,2012Q4,A84: Ashbourne,8
431,New Dwelling Completion,2012Q4,A85: Dunshaughlin,3
432,New Dwelling Completion,2012Q4,A86: Dunboyne,0
433,New Dwelling Completion,2012Q4,A91: Dundalk,44
434,New Dwelling Completion,2012Q4,A92: Drogheda,41
435,New Dwelling Completion,2012Q4,A94: Blackrock,2
436,New Dwelling Completion,2012Q4,A96: Glenageary,19
437,New Dwelling Completion,2012Q4,A98: Bray,7
438,New Dwelling Completion,2012Q4,C15: Navan,27
439,New Dwelling Completion,2012Q4,D01: Dublin 1,0
440,New Dwelling Completion,2012Q4,D02: Dublin 2,2
441,New Dwelling Completion,2012Q4,D03: Dublin 3,1
442,New Dwelling Completion,2012Q4,D04: Dublin 4,1
443,New Dwelling Completion,2012Q4,D05: Dublin 5,1
444,New Dwelling Completion,2012Q4,D06: Dublin 6,3
445,New Dwelling Completion,2012Q4,D07: Dublin 7,0
446,New Dwelling Completion,2012Q4,D08: Dublin 8,4
447,New Dwelling Completion,2012Q4,D09: Dublin 9,51
448,New Dwelling Completion,2012Q4,D10: Dublin 10,0
449,New Dwelling Completion,2012Q4,D11: Dublin 11,2
450,New Dwelling Completion,2012Q4,D12: Dublin 12,5
451,New Dwelling Completion,2012Q4,D13: Dublin 13,2
452,New Dwelling Completion,2012Q4,D14: Dublin 14,2
453,New Dwelling Completion,2012Q4,D15: Dublin 15,3
454,New Dwelling Completion,2012Q4,D16: Dublin 16,8
455,New Dwelling Completion,2012Q4,D17: Dublin 17,2
456,New Dwelling Completion,2012Q4,D18: Dublin 18,4
457,New Dwelling Completion,2012Q4,D20: Dublin 20,0
458,New Dwelling Completion,2012Q4,D22: Dublin 22,14
459,New Dwelling Completion,2012Q4,D24: Dublin 24,39
460,New Dwelling Completion,2012Q4,D6W: Dublin 6W,1
461,New Dwelling Completion,2012Q4,E21: Cahir,0
462,New Dwelling Completion,2012Q4,E25: Cashel,4
463,New Dwelling Completion,2012Q4,E32: Carrick-on-Suir,2
464,New Dwelling Completion,2012Q4,E34: Tipperary,4
465,New Dwelling Completion,2012Q4,E41: Thurles,9
466,New Dwelling Completion,2012Q4,E45: Nenagh,6
467,New Dwelling Completion,2012Q4,E53: Roscrea,7
468,New Dwelling Completion,2012Q4,E91: Clonmel,11
469,New Dwelling Completion,2012Q4,F12: Claremorris,9
470,New Dwelling Completion,2012Q4,F23: Castlebar,3
471,New Dwelling Completion,2012Q4,F26: Ballina,24
472,New Dwelling Completion,2012Q4,F28: Westport,14
473,New Dwelling Completion,2012Q4,F31: Ballinrobe,2
474,New Dwelling Completion,2012Q4,F35: Ballyhaunis,1
