,Statistic,Month,Type.of.Residential.Property,value
2452,Residential Property Price Index,2015 March,National excluding Dublin - apartments,97.9
2453,Residential Property Price Index,2015 March,Border - houses,95.7
2454,Residential Property Price Index,2015 March,Midland - houses,96.4
2455,Residential Property Price Index,2015 March,West - houses,96.0
2456,Residential Property Price Index,2015 March,Mid-East - houses,96.4
2457,Residential Property Price Index,2015 March,Mid-West - houses,95.5
2458,Residential Property Price Index,2015 March,South-East - houses,94.8
2459,Residential Property Price Index,2015 March,South-West - houses,95.5
2460,Residential Property Price Index,2015 April,National - all residential properties,97.3
2461,Residential Property Price Index,2015 April,National - houses,97.6
2462,Residential Property Price Index,2015 April,National - apartments,97.4
2463,Residential Property Price Index,2015 April,Dublin - all residential properties,97.9
2464,Residential Property Price Index,2015 April,Dublin - houses,98.7
2465,Residential Property Price Index,2015 April,Dublin - apartments,95.3
2466,Residential Property Price Index,2015 April,Dublin City - houses,99.2
2467,Residential Property Price Index,2015 April,Dun Laoghaire-Rathdown - houses,99.9
2468,Residential Property Price Index,2015 April,Fingal - houses,98.3
2469,Residential Property Price Index,2015 April,South Dublin - houses,101.6
2470,Residential Property Price Index,2015 April,National excluding Dublin - all residential properties,96.7
2471,Residential Property Price Index,2015 April,National excluding Dublin - houses,96.7
2472,Residential Property Price Index,2015 April,National excluding Dublin - apartments,97.2
2473,Residential Property Price Index,2015 April,Border - houses,95.9
2474,Residential Property Price Index,2015 April,Midland - houses,95.5
2475,Residential Property Price Index,2015 April,West - houses,96.9
2476,Residential Property Price Index,2015 April,Mid-East - houses,97.4
2477,Residential Property Price Index,2015 April,Mid-West - houses,96.6
2478,Residential Property Price Index,2015 April,South-East - houses,96.7
2479,Residential Property Price Index,2015 April,South-West - houses,97.4
2480,Residential Property Price Index,2015 May,National - all residential properties,98.4
2481,Residential Property Price Index,2015 May,National - houses,98.7
2482,Residential Property Price Index,2015 May,National - apartments,97.7
2483,Residential Property Price Index,2015 May,Dublin - all residential properties,98.5
2484,Residential Property Price Index,2015 May,Dublin - houses,98.9
2485,Residential Property Price Index,2015 May,Dublin - apartments,96.5
2486,Residential Property Price Index,2015 May,Dublin City - houses,99.1
2487,Residential Property Price Index,2015 May,Dun Laoghaire-Rathdown - houses,99.0
2488,Residential Property Price Index,2015 May,Fingal - houses,99.4
2489,Residential Property Price Index,2015 May,South Dublin - houses,100.6
2490,Residential Property Price Index,2015 May,National excluding Dublin - all residential properties,98.4
2491,Residential Property Price Index,2015 May,National excluding Dublin - houses,98.4
2492,Residential Property Price Index,2015 May,National excluding Dublin - apartments,97.5
2493,Residential Property Price Index,2015 May,Border - houses,96.6
2494,Residential Property Price Index,2015 May,Midland - houses,95.8
2495,Residential Property Price Index,2015 May,West - houses,98.0
2496,Residential Property Price Index,2015 May,Mid-East - houses,98.4
2497,Residential Property Price Index,2015 May,Mid-West - houses,99.1
2498,Residential Property Price Index,2015 May,South-East - houses,98.2
2499,Residential Property Price Index,2015 May,South-West - houses,98.7
2500,Residential Property Price Index,2015 June,National - all residential properties,100.0
2501,Residential Property Price Index,2015 June,National - houses,100.0
2502,Residential Property Price Index,2015 June,National - apartments,98.8
2503,Residential Property Price Index,2015 June,Dublin - all residential properties,99.9
2504,Residential Property Price Index,2015 June,Dublin - houses,99.8
2505,Residential Property Price Index,2015 June,Dublin - apartments,98.8
2506,Residential Property Price Index,2015 June,Dublin City - houses,99.3
2507,Residential Property Price Index,2015 June,Dun Laoghaire-Rathdown - houses,99.4
2508,Residential Property Price Index,2015 June,Fingal - houses,99.9
2509,Residential Property Price Index,2015 June,South Dublin - houses,100.0
2510,Residential Property Price Index,2015 June,National excluding Dublin - all residential properties,100.1
2511,Residential Property Price Index,2015 June,National excluding Dublin - houses,100.2
2512,Residential Property Price Index,2015 June,National excluding Dublin - apartments,99.0
2513,Residential Property Price Index,2015 June,Border - houses,98.4
2514,Residential Property Price Index,2015 June,Midland - houses,96.9
2515,Residential Property Price Index,2015 June,West - houses,100.5
2516,Residential Property Price Index,2015 June,Mid-East - houses,99.7
2517,Residential Property Price Index,2015 June,Mid-West - houses,100.7
2518,Residential Property Price Index,2015 June,South-East - houses,99.6
2519,Residential Property Price Index,2015 June,South-West - houses,99.4
2520,Residential Property Price Index,2015 July,National - all residential properties,100.8
2521,Residential Property Price Index,2015 July,National - houses,100.7
2522,Residential Property Price Index,2015 July,National - apartments,99.7
2523,Residential Property Price Index,2015 July,Dublin - all residential properties,100.4
2524,Residential Property Price Index,2015 July,Dublin - houses,100.0
2525,Residential Property Price Index,2015 July,Dublin - apartments,100.6
2526,Residential Property Price Index,2015 July,Dublin City - houses,99.1
2527,Residential Property Price Index,2015 July,Dun Laoghaire-Rathdown - houses,99.6
2528,Residential Property Price Index,2015 July,Fingal - houses,100.1
2529,Residential Property Price Index,2015 July,South Dublin - houses,99.5
2530,Residential Property Price Index,2015 July,National excluding Dublin - all residential properties,101.2
2531,Residential Property Price Index,2015 July,National excluding Dublin - houses,101.3
2532,Residential Property Price Index,2015 July,National excluding Dublin - apartments,100.0
2533,Residential Property Price Index,2015 July,Border - houses,99.8
2534,Residential Property Price Index,2015 July,Midland - houses,98.1
2535,Residential Property Price Index,2015 July,West - houses,101.2
2536,Residential Property Price Index,2015 July,Mid-East - houses,100.9
2537,Residential Property Price Index,2015 July,Mid-West - houses,102.1
2538,Residential Property Price Index,2015 July,South-East - houses,101.0
2539,Residential Property Price Index,2015 July,South-West - houses,100.0
2540,Residential Property Price Index,2015 August,National - all residential properties,102.0
2541,Residential Property Price Index,2015 August,National - houses,101.8
2542,Residential Property Price Index,2015 August,National - apartments,100.8
2543,Residential Property Price Index,2015 August,Dublin - all residential properties,101.4
2544,Residential Property Price Index,2015 August,Dublin - houses,101.0
2545,Residential Property Price Index,2015 August,Dublin - apartments,101.8
2546,Residential Property Price Index,2015 August,Dublin City - houses,99.7
2547,Residential Property Price Index,2015 August,Dun Laoghaire-Rathdown - houses,99.9
2548,Residential Property Price Index,2015 August,Fingal - houses,100.7
2549,Residential Property Price Index,2015 August,South Dublin - houses,99.5
2550,Residential Property Price Index,2015 August,National excluding Dublin - all residential properties,102.6
2551,Residential Property Price Index,2015 August,National excluding Dublin - houses,102.6
2552,Residential Property Price Index,2015 August,National excluding Dublin - apartments,102.9
2553,Residential Property Price Index,2015 August,Border - houses,103.0
2554,Residential Property Price Index,2015 August,Midland - houses,102.0
2555,Residential Property Price Index,2015 August,West - houses,101.6
2556,Residential Property Price Index,2015 August,Mid-East - houses,101.7
2557,Residential Property Price Index,2015 August,Mid-West - houses,102.5
2558,Residential Property Price Index,2015 August,South-East - houses,103.0
2559,Residential Property Price Index,2015 August,South-West - houses,101.2
2560,Residential Property Price Index,2015 September,National - all residential properties,102.4
2561,Residential Property Price Index,2015 September,National - houses,102.2
2562,Residential Property Price Index,2015 September,National - apartments,101.6
2563,Residential Property Price Index,2015 September,Dublin - all residential properties,101.4
2564,Residential Property Price Index,2015 September,Dublin - houses,100.9
2565,Residential Property Price Index,2015 September,Dublin - apartments,102.7
2566,Residential Property Price Index,2015 September,Dublin City - houses,99.3
2567,Residential Property Price Index,2015 September,Dun Laoghaire-Rathdown - houses,100.3
2568,Residential Property Price Index,2015 September,Fingal - houses,101.0
