Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2016Q2,"Wood, pulp and paper",166
Tonne-Kilometre,2016Q2,Coke and refined petroleum products,271
Tonne-Kilometre,2016Q2,Chemicals and plastics,170
Tonne-Kilometre,2016Q2,Other non-metallic mineral products,183
Tonne-Kilometre,2016Q2,Metal products (except machinery and equipment),58
Tonne-Kilometre,2016Q2,Machinery and equipment,61
Tonne-Kilometre,2016Q2,Furniture and other manufactured goods,52
Tonne-Kilometre,2016Q2,Secondary raw materials and waste,95
Tonne-Kilometre,2016Q2,Other NST 2007 goods,467
Tonne-Kilometre,2016Q3,All NST 2007 goods,2896
Tonne-Kilometre,2016Q3,Products of agriculture forestry and fishing,337
Tonne-Kilometre,2016Q3,Coal and natural gas,14
Tonne-Kilometre,2016Q3,"Quarry products, metal ores and peat",294
Tonne-Kilometre,2016Q3,Foodstuffs,799
Tonne-Kilometre,2016Q3,Textiles and leather,33
