Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2019Q4,Apartment,Kildare County Council,35
New Dwelling Completion,2019Q4,Apartment,Kilkenny County Council,34
New Dwelling Completion,2019Q4,Apartment,Kerry County Council,11
New Dwelling Completion,2019Q4,Apartment,Longford County Council,1
New Dwelling Completion,2019Q4,Apartment,Louth County Council,52
New Dwelling Completion,2019Q4,Apartment,Limerick City & County Council,3
New Dwelling Completion,2019Q4,Apartment,Leitrim County Council,1
New Dwelling Completion,2019Q4,Apartment,Laois County Council,0
New Dwelling Completion,2019Q4,Apartment,Meath County Council,21
New Dwelling Completion,2019Q4,Apartment,Monaghan County Council,1
New Dwelling Completion,2019Q4,Apartment,Mayo County Council,2
New Dwelling Completion,2019Q4,Apartment,Offaly County Council,0
New Dwelling Completion,2019Q4,Apartment,Roscommon County Council,3
New Dwelling Completion,2019Q4,Apartment,South Dublin County Council,18
New Dwelling Completion,2019Q4,Apartment,Sligo County Council,6
New Dwelling Completion,2019Q4,Apartment,Tipperary County Council,2
New Dwelling Completion,2019Q4,Apartment,Waterford City & County Council,17
New Dwelling Completion,2019Q4,Apartment,Westmeath County Council,0
New Dwelling Completion,2019Q4,Apartment,Wicklow County Council,112
New Dwelling Completion,2019Q4,Apartment,Wexford County Council,14
New Dwelling Completion,2019Q4,Apartment,Ireland,1173
New Dwelling Completion,2019Q4,All house types,Cork City Council,278
New Dwelling Completion,2019Q4,All house types,Clare County Council,107
New Dwelling Completion,2019Q4,All house types,Cavan County Council,36
New Dwelling Completion,2019Q4,All house types,Cork County Council,472
New Dwelling Completion,2019Q4,All house types,Carlow County Council,73
New Dwelling Completion,2019Q4,All house types,Dublin City Council,488
New Dwelling Completion,2019Q4,All house types,Dún Laoghaire Rathdown County Council,254
New Dwelling Completion,2019Q4,All house types,Donegal County Council,101
New Dwelling Completion,2019Q4,All house types,Fingal County Council,783
New Dwelling Completion,2019Q4,All house types,Galway County Council,249
New Dwelling Completion,2019Q4,All house types,Galway City Council,93
New Dwelling Completion,2019Q4,All house types,Kildare County Council,623
New Dwelling Completion,2019Q4,All house types,Kilkenny County Council,94
New Dwelling Completion,2019Q4,All house types,Kerry County Council,147
New Dwelling Completion,2019Q4,All house types,Longford County Council,50
New Dwelling Completion,2019Q4,All house types,Louth County Council,204
New Dwelling Completion,2019Q4,All house types,Limerick City & County Council,177
New Dwelling Completion,2019Q4,All house types,Leitrim County Council,7
New Dwelling Completion,2019Q4,All house types,Laois County Council,76
New Dwelling Completion,2019Q4,All house types,Meath County Council,404
New Dwelling Completion,2019Q4,All house types,Monaghan County Council,64
New Dwelling Completion,2019Q4,All house types,Mayo County Council,167
New Dwelling Completion,2019Q4,All house types,Offaly County Council,99
New Dwelling Completion,2019Q4,All house types,Roscommon County Council,47
New Dwelling Completion,2019Q4,All house types,South Dublin County Council,523
New Dwelling Completion,2019Q4,All house types,Sligo County Council,27
New Dwelling Completion,2019Q4,All house types,Tipperary County Council,76
New Dwelling Completion,2019Q4,All house types,Waterford City & County Council,139
New Dwelling Completion,2019Q4,All house types,Westmeath County Council,71
New Dwelling Completion,2019Q4,All house types,Wicklow County Council,323
New Dwelling Completion,2019Q4,All house types,Wexford County Council,153
New Dwelling Completion,2019Q4,All house types,Ireland,6405
New Dwelling Completion,2020Q1,Single house,Cork City Council,16
New Dwelling Completion,2020Q1,Single house,Clare County Council,45
New Dwelling Completion,2020Q1,Single house,Cavan County Council,30
New Dwelling Completion,2020Q1,Single house,Cork County Council,142
New Dwelling Completion,2020Q1,Single house,Carlow County Council,16
New Dwelling Completion,2020Q1,Single house,Dublin City Council,21
New Dwelling Completion,2020Q1,Single house,Dún Laoghaire Rathdown County Council,12
New Dwelling Completion,2020Q1,Single house,Donegal County Council,67
New Dwelling Completion,2020Q1,Single house,Fingal County Council,27
New Dwelling Completion,2020Q1,Single house,Galway County Council,83
New Dwelling Completion,2020Q1,Single house,Galway City Council,3
New Dwelling Completion,2020Q1,Single house,Kildare County Council,28
New Dwelling Completion,2020Q1,Single house,Kilkenny County Council,32
New Dwelling Completion,2020Q1,Single house,Kerry County Council,55
New Dwelling Completion,2020Q1,Single house,Longford County Council,8
New Dwelling Completion,2020Q1,Single house,Louth County Council,27
New Dwelling Completion,2020Q1,Single house,Limerick City & County Council,44
New Dwelling Completion,2020Q1,Single house,Leitrim County Council,5
New Dwelling Completion,2020Q1,Single house,Laois County Council,21
New Dwelling Completion,2020Q1,Single house,Meath County Council,63
New Dwelling Completion,2020Q1,Single house,Monaghan County Council,27
New Dwelling Completion,2020Q1,Single house,Mayo County Council,59
New Dwelling Completion,2020Q1,Single house,Offaly County Council,23
New Dwelling Completion,2020Q1,Single house,Roscommon County Council,24
New Dwelling Completion,2020Q1,Single house,South Dublin County Council,7
New Dwelling Completion,2020Q1,Single house,Sligo County Council,32
New Dwelling Completion,2020Q1,Single house,Tipperary County Council,47
New Dwelling Completion,2020Q1,Single house,Waterford City & County Council,29
New Dwelling Completion,2020Q1,Single house,Westmeath County Council,21
New Dwelling Completion,2020Q1,Single house,Wicklow County Council,27
New Dwelling Completion,2020Q1,Single house,Wexford County Council,64
New Dwelling Completion,2020Q1,Single house,Ireland,1105
New Dwelling Completion,2020Q1,Scheme house,Cork City Council,209
New Dwelling Completion,2020Q1,Scheme house,Clare County Council,26
New Dwelling Completion,2020Q1,Scheme house,Cavan County Council,6
New Dwelling Completion,2020Q1,Scheme house,Cork County Council,199
New Dwelling Completion,2020Q1,Scheme house,Carlow County Council,9
New Dwelling Completion,2020Q1,Scheme house,Dublin City Council,41
New Dwelling Completion,2020Q1,Scheme house,Dún Laoghaire Rathdown County Council,113
New Dwelling Completion,2020Q1,Scheme house,Donegal County Council,49
New Dwelling Completion,2020Q1,Scheme house,Fingal County Council,308
New Dwelling Completion,2020Q1,Scheme house,Galway County Council,105
New Dwelling Completion,2020Q1,Scheme house,Galway City Council,49
New Dwelling Completion,2020Q1,Scheme house,Kildare County Council,300
New Dwelling Completion,2020Q1,Scheme house,Kilkenny County Council,59
New Dwelling Completion,2020Q1,Scheme house,Kerry County Council,29
New Dwelling Completion,2020Q1,Scheme house,Longford County Council,8
New Dwelling Completion,2020Q1,Scheme house,Louth County Council,87
New Dwelling Completion,2020Q1,Scheme house,Limerick City & County Council,71
New Dwelling Completion,2020Q1,Scheme house,Leitrim County Council,0
New Dwelling Completion,2020Q1,Scheme house,Laois County Council,35
New Dwelling Completion,2020Q1,Scheme house,Meath County Council,300
New Dwelling Completion,2020Q1,Scheme house,Monaghan County Council,9
New Dwelling Completion,2020Q1,Scheme house,Mayo County Council,57
New Dwelling Completion,2020Q1,Scheme house,Offaly County Council,22
New Dwelling Completion,2020Q1,Scheme house,Roscommon County Council,4
New Dwelling Completion,2020Q1,Scheme house,South Dublin County Council,296
New Dwelling Completion,2020Q1,Scheme house,Sligo County Council,26
New Dwelling Completion,2020Q1,Scheme house,Tipperary County Council,16
New Dwelling Completion,2020Q1,Scheme house,Waterford City & County Council,101
New Dwelling Completion,2020Q1,Scheme house,Westmeath County Council,56
New Dwelling Completion,2020Q1,Scheme house,Wicklow County Council,184
New Dwelling Completion,2020Q1,Scheme house,Wexford County Council,63
New Dwelling Completion,2020Q1,Scheme house,Ireland,2837
New Dwelling Completion,2020Q1,Apartment,Cork City Council,20
New Dwelling Completion,2020Q1,Apartment,Clare County Council,5
New Dwelling Completion,2020Q1,Apartment,Cavan County Council,1
New Dwelling Completion,2020Q1,Apartment,Cork County Council,11
New Dwelling Completion,2020Q1,Apartment,Carlow County Council,0
New Dwelling Completion,2020Q1,Apartment,Dublin City Council,594
New Dwelling Completion,2020Q1,Apartment,Dún Laoghaire Rathdown County Council,124
New Dwelling Completion,2020Q1,Apartment,Donegal County Council,4
New Dwelling Completion,2020Q1,Apartment,Fingal County Council,78
New Dwelling Completion,2020Q1,Apartment,Galway County Council,4
New Dwelling Completion,2020Q1,Apartment,Galway City Council,5
New Dwelling Completion,2020Q1,Apartment,Kildare County Council,0
New Dwelling Completion,2020Q1,Apartment,Kilkenny County Council,21
New Dwelling Completion,2020Q1,Apartment,Kerry County Council,1
New Dwelling Completion,2020Q1,Apartment,Longford County Council,3
New Dwelling Completion,2020Q1,Apartment,Louth County Council,1
New Dwelling Completion,2020Q1,Apartment,Limerick City & County Council,12
New Dwelling Completion,2020Q1,Apartment,Leitrim County Council,0
New Dwelling Completion,2020Q1,Apartment,Laois County Council,9
New Dwelling Completion,2020Q1,Apartment,Meath County Council,18
New Dwelling Completion,2020Q1,Apartment,Monaghan County Council,8
New Dwelling Completion,2020Q1,Apartment,Mayo County Council,4
New Dwelling Completion,2020Q1,Apartment,Offaly County Council,0
New Dwelling Completion,2020Q1,Apartment,Roscommon County Council,0
New Dwelling Completion,2020Q1,Apartment,South Dublin County Council,12
New Dwelling Completion,2020Q1,Apartment,Sligo County Council,16
New Dwelling Completion,2020Q1,Apartment,Tipperary County Council,5
New Dwelling Completion,2020Q1,Apartment,Waterford City & County Council,0
New Dwelling Completion,2020Q1,Apartment,Westmeath County Council,6
New Dwelling Completion,2020Q1,Apartment,Wicklow County Council,12
New Dwelling Completion,2020Q1,Apartment,Wexford County Council,13
New Dwelling Completion,2020Q1,Apartment,Ireland,987
New Dwelling Completion,2020Q1,All house types,Cork City Council,245
New Dwelling Completion,2020Q1,All house types,Clare County Council,76
New Dwelling Completion,2020Q1,All house types,Cavan County Council,37
New Dwelling Completion,2020Q1,All house types,Cork County Council,352
New Dwelling Completion,2020Q1,All house types,Carlow County Council,25
New Dwelling Completion,2020Q1,All house types,Dublin City Council,656
New Dwelling Completion,2020Q1,All house types,Dún Laoghaire Rathdown County Council,249
New Dwelling Completion,2020Q1,All house types,Donegal County Council,120
New Dwelling Completion,2020Q1,All house types,Fingal County Council,413
New Dwelling Completion,2020Q1,All house types,Galway County Council,192
New Dwelling Completion,2020Q1,All house types,Galway City Council,57
New Dwelling Completion,2020Q1,All house types,Kildare County Council,328
New Dwelling Completion,2020Q1,All house types,Kilkenny County Council,112
New Dwelling Completion,2020Q1,All house types,Kerry County Council,85
New Dwelling Completion,2020Q1,All house types,Longford County Council,19
New Dwelling Completion,2020Q1,All house types,Louth County Council,115
New Dwelling Completion,2020Q1,All house types,Limerick City & County Council,127
New Dwelling Completion,2020Q1,All house types,Leitrim County Council,5
New Dwelling Completion,2020Q1,All house types,Laois County Council,65
New Dwelling Completion,2020Q1,All house types,Meath County Council,381
New Dwelling Completion,2020Q1,All house types,Monaghan County Council,44
New Dwelling Completion,2020Q1,All house types,Mayo County Council,120
New Dwelling Completion,2020Q1,All house types,Offaly County Council,45
New Dwelling Completion,2020Q1,All house types,Roscommon County Council,28
New Dwelling Completion,2020Q1,All house types,South Dublin County Council,315
New Dwelling Completion,2020Q1,All house types,Sligo County Council,74
New Dwelling Completion,2020Q1,All house types,Tipperary County Council,68
New Dwelling Completion,2020Q1,All house types,Waterford City & County Council,130
New Dwelling Completion,2020Q1,All house types,Westmeath County Council,83
New Dwelling Completion,2020Q1,All house types,Wicklow County Council,223
New Dwelling Completion,2020Q1,All house types,Wexford County Council,140
New Dwelling Completion,2020Q1,All house types,Ireland,4929
New Dwelling Completion,2020Q2,Single house,Cork City Council,9
New Dwelling Completion,2020Q2,Single house,Clare County Council,53
New Dwelling Completion,2020Q2,Single house,Cavan County Council,23
New Dwelling Completion,2020Q2,Single house,Cork County Council,95
New Dwelling Completion,2020Q2,Single house,Carlow County Council,12
New Dwelling Completion,2020Q2,Single house,Dublin City Council,10
New Dwelling Completion,2020Q2,Single house,Dún Laoghaire Rathdown County Council,5
New Dwelling Completion,2020Q2,Single house,Donegal County Council,51
New Dwelling Completion,2020Q2,Single house,Fingal County Council,9
New Dwelling Completion,2020Q2,Single house,Galway County Council,89
New Dwelling Completion,2020Q2,Single house,Galway City Council,1
New Dwelling Completion,2020Q2,Single house,Kildare County Council,31
New Dwelling Completion,2020Q2,Single house,Kilkenny County Council,29
New Dwelling Completion,2020Q2,Single house,Kerry County Council,37
New Dwelling Completion,2020Q2,Single house,Longford County Council,15
